Date,Close,Volume
2022-01-03,401.68,40575850
2022-01-04,396.47,58027210
2022-01-05,384.29,75739850
2022-01-06,384.02,70814320
2022-01-07,379.86,72652300
2022-01-10,380.11,91770500
2022-01-11,385.82,68295700
2022-01-12,387.35,54576370
2022-01-13,377.66,77993960
2022-01-14,380.01,80121210
2022-01-18,370.55,75812300
2022-01-19,366.48,81791480
2022-01-20,361.72,88610680
2022-01-21,351.69,143388900
2022-01-24,353.3,199448100
2022-01-25,345.11,124398400
2022-01-26,344.57,146559500
2022-01-27,341.1,95255660
2022-01-28,351.8,108167900
2022-01-31,363.05,94326390
2022-02-01,365.52,74433020
2022-02-02,368.49,78777140
2022-02-03,353.55,95384770
2022-02-04,358.01,86318300
2022-02-07,355.13,58198090
2022-02-08,359.12,64720900
2022-02-09,366.73,55766420
2022-02-10,358.43,112468500
2022-02-11,347.06,101569100
2022-02-14,347.49,80254440
2022-02-15,356.13,55390810
2022-02-16,356.04,58947090
2022-02-17,345.45,61801350
2022-02-18,341.51,80001510
2022-02-22,338.08,85967100
2022-02-23,329.42,86215370
2022-02-24,340.49,130614100
2022-02-25,345.77,78842090
2022-02-28,346.8,77515540
2022-03-01,341.49,67407000
2022-03-02,347.22,70609020
2022-03-03,342.26,71089390
2022-03-04,337.3,77009760
2022-03-07,324.86,89933790
2022-03-08,323.35,116153900
2022-03-09,334.99,64723370
2022-03-10,331.27,69362710
2022-03-11,324.4,66228430
2022-03-14,318.17,79802610
2022-03-15,328.15,76470990
2022-03-16,340.32,105243000
2022-03-17,344.44,67809950
2022-03-18,351.49,85446350
2022-03-21,350.08,73799070
2022-03-22,356.96,63345930
2022-03-23,351.83,70615460
2022-03-24,359.65,53555250
2022-03-25,359.35,57584160
2022-03-28,364.91,56833870
2022-03-29,371.19,68072960
2022-03-30,367.09,68757710
2022-03-31,362.54,67011410
2022-04-01,361.85,54527760
2022-04-04,369.3,45950170
2022-04-05,361.1,62738660
2022-04-06,353.26,90077070
2022-04-07,354.1,63777370
2022-04-08,349.15,61956090
2022-04-11,340.89,66107400
2022-04-12,339.45,72790220
2022-04-13,346.35,61367760
2022-04-14,338.43,73519370
2022-04-18,338.69,58560560
2022-04-19,346.26,56515680
2022-04-20,341.21,65500020
2022-04-21,334.15,75801010
2022-04-22,325.4,82562150
2022-04-25,329.58,101755900
2022-04-26,317.14,105819600
2022-04-27,316.76,111204200
2022-04-28,328.01,99449960
2022-04-29,313.25,91977860
2022-05-02,318.48,115511800
2022-05-03,318.82,78185530
2022-05-04,329.6,116083400
2022-05-05,313.0,154607400
2022-05-06,309.25,139572800
2022-05-09,297.15,113387300
2022-05-10,300.76,124124600
2022-05-11,291.84,140326100
2022-05-12,291.15,120910900
2022-05-13,301.94,83684930
2022-05-16,298.44,59190430
2022-05-17,306.17,62715290
2022-05-18,291.14,79477110
2022-05-19,289.58,79920710
2022-05-20,288.68,91764170
2022-05-23,293.48,63648400
2022-05-24,287.24,73491120
2022-05-25,291.26,67144550
2022-05-26,299.33,59462230
2022-05-27,309.1,66985600
2022-05-31,308.28,60968330
2022-06-01,306.0,65341650
2022-06-02,314.38,59291330
2022-06-03,306.2,60914680
2022-06-06,307.22,51785010
2022-06-07,309.87,44900290
2022-06-08,307.64,38342060
2022-06-09,299.4,55900480
2022-06-10,288.84,85963460
2022-06-13,275.41,94442010
2022-06-14,275.91,64697520
2022-06-15,282.8,86051430
2022-06-16,271.39,81910300
2022-06-17,274.69,82703400
2022-06-21,281.08,51633740
2022-06-22,280.67,67472920
2022-06-23,284.85,57457800
2022-06-24,294.61,58422260
2022-06-27,292.45,54151450
2022-06-28,283.54,61867060
2022-06-29,283.8,57302730
2022-06-30,280.28,79313580
2022-07-01,282.13,56675110
2022-07-05,286.96,61829270
2022-07-06,288.8,63194720
2022-07-07,294.98,56620110
2022-07-08,295.35,59895480
2022-07-11,289.04,55273920
2022-07-12,286.24,55797090
2022-07-13,285.65,73939420
2022-07-14,286.67,63741840
2022-07-15,291.87,63818150
2022-07-18,289.4,59519580
2022-07-19,298.3,55172640
2022-07-20,303.03,67769430
2022-07-21,307.38,55049360
2022-07-22,301.99,57127720
2022-07-25,300.27,40582380
2022-07-26,294.37,50074120
2022-07-27,306.81,69304360
2022-07-28,309.81,55139940
2022-07-29,315.46,57501040
2022-08-01,315.27,46358830
2022-08-02,314.33,48676500
2022-08-03,322.89,53735730
2022-08-04,324.4,38973660
2022-08-05,321.75,53893970
2022-08-08,320.71,44066300
2022-08-09,317.08,39764220
2022-08-10,325.93,51459560
2022-08-11,324.08,45897650
2022-08-12,330.39,40928380
2022-08-15,333.06,38266610
2022-08-16,332.28,41186860
2022-08-17,328.49,47842160
2022-08-18,329.28,41937170
2022-08-19,322.86,51770570
2022-08-22,314.36,51098890
2022-08-23,314.1,39497070
2022-08-24,315.01,38057060
2022-08-25,320.58,38098260
2022-08-26,307.44,69047740
2022-08-29,304.41,48321850
2022-08-30,301.02,51184500
2022-08-31,299.27,50044040
2022-09-01,299.4,57990750
2022-09-02,295.17,64666840
2022-09-06,293.05,57005440
2022-09-07,298.97,49260380
2022-09-08,300.52,55649820
2022-09-09,307.09,56125220
2022-09-12,310.74,45905740
2022-09-13,293.7,79562170
2022-09-14,296.03,54907200
2022-09-15,291.1,65299410
2022-09-16,289.32,79920390
2022-09-19,291.05,52613830
2022-09-20,288.73,51271120
2022-09-21,283.56,82930960
2022-09-22,280.07,62757070
2022-09-23,275.51,74815190
2022-09-26,274.37,71176690
2022-09-27,274.48,69780120
2022-09-28,279.94,79652140
2022-09-29,271.87,81215960
2022-09-30,267.26,78482380
2022-10-03,273.53,61267450
2022-10-04,282.13,66696930
2022-10-05,281.98,55766320
2022-10-06,279.76,53489410
2022-10-07,269.1,71354670
2022-10-10,266.41,60392990
2022-10-11,262.75,66522510
2022-10-12,262.66,50580180
2022-10-13,268.82,112894100
2022-10-14,260.74,77244300
2022-10-17,269.35,64576450
2022-10-18,271.48,69781000
2022-10-19,270.49,53115410
2022-10-20,269.11,60605500
2022-10-21,275.42,77897690
2022-10-24,278.45,63963570
2022-10-25,284.21,59014490
2022-10-26,277.93,63898250
2022-10-27,272.87,57760300
2022-10-28,281.22,62651310
2022-10-31,277.95,47741950
2022-11-01,275.11,45895900
2022-11-02,265.68,79803140
2022-11-03,260.49,70038900
2022-11-04,264.68,78313210
2022-11-07,267.59,47333830
2022-11-08,269.54,63213790
2022-11-09,263.32,64862130
2022-11-10,282.75,99256690
2022-11-11,287.96,66961750
2022-11-14,285.44,55080050
2022-11-15,289.39,73985370
2022-11-16,285.44,48859800
2022-11-17,284.81,55462080
2022-11-18,284.82,53588630
2022-11-21,281.89,40083530
2022-11-22,285.95,41873440
2022-11-23,288.82,46389970
2022-11-25,286.92,15498800
2022-11-28,282.71,38877050
2022-11-29,280.57,35618880
2022-11-30,293.36,74718090
